[2025-02-22 23:31:23,997] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,015] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,015] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,016] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,016] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,016] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,048] INFO: Distributed process group initialized
[2025-02-22 23:31:24,048] INFO: Distributed process group initialized
[2025-02-22 23:31:24,048] INFO: Distributed process group initialized
[2025-02-22 23:31:24,049] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,049] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,049] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,049] INFO: Created GlooComm with device cpu
[2025-02-22 23:31:24,085] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,085] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,085] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,085] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,085] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,109] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,110] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,142] INFO: Distributed process group initialized
[2025-02-22 23:31:24,143] INFO: Created GlooComm with device cpu
